Trial Type, Money Option, Item Option, Trial Options, Choice 1, Choice 1 RT, Choice 2, Choice 2 RT, Decision Rating , Selected Option Rating, PostChoiceRT, Computer Response, Choosing For
6,1.5,12,1.25 1.0 1.5,1.5,3.83593039971,$1.5,4.06317915057,6,2,n/a,1,2
2,1.5,2,0.5 1.75 0.75 1.5,1.5,1.29061442654,$1.75,2.3479297412,7,7,2.38983672258,0,1
4,1.25,12,..\..\JOCN-master\task a\images\special_k_cracker_chips.jpg ..\..\JOCN-master\task a\images\garden_veggie straws_sea salt.jpg ..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg ..\..\JOCN-master\task a\images\baked_cheetos_crunchy.jpg ..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg ..\..\JOCN-master\task a\images\barnum's_animal_crackers.jpg ..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg ..\..\JOCN-master\task a\images\belvita_golden_oats.JPG ..\..\JOCN-master\task a\images\oreo_thin_crisps.jpg ..\..\JOCN-master\task a\images\nestle_butterfinger_cups.jpg ..\..\JOCN-master\task a\images\pepperidge farms-goldish-cheddar.jpg ..\..\JOCN-master\task a\images\chips_ahoy_thin_crisps.jpg,12,6.41887891106e-06,..\..\JOCN-master\task a\images\chips_ahoy_thin_crisps.jpg,9.43953637034e-06,n/a,n/a,,1,1
8,1.75,6,..\..\JOCN-master\task a\images\baked_lays_classic.jpg ..\..\JOCN-master\task a\images\quaker_chewy_dark choc chunk.jpg ..\..\JOCN-master\task a\images\milkyway_orginal_candy.jpg ..\..\JOCN-master\task a\images\baked_ruffles_cheddar &sour.JPG ..\..\JOCN-master\task a\images\kellogg's_rice krispies_orignal.jpg ..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg,6,5.66369271837e-06,..\..\JOCN-master\task a\images\milkyway_orginal_candy.jpg,1.24601647258e-05,n/a,n/a,,1,2
5,0.75,6,1.5 0.75 1.75 0.5,0.75,1.16985376657,$1.75,1.73195058067,5,7,2.67819094809,0,2
1,1.25,12,..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg ..\..\JOCN-master\task a\images\fiber one_chocolate fudge_ brownie.jpg ..\..\JOCN-master\task a\images\baked_cheetos_crunchy.jpg ..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg ..\..\JOCN-master\task a\images\planters_honey roasted_peanuts.jpg ..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg ..\..\JOCN-master\task a\images\hersey_milk_chocolate.jpg ..\..\JOCN-master\task a\images\sun chips_garden salsa_chips.jpg ..\..\JOCN-master\task a\images\hersheys_milk choc_almond.jpg ..\..\JOCN-master\task a\images\kettle_salt_vinegar.jpg ..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg ..\..\JOCN-master\task a\images\sun chips_french onion_chips.jpg,12,1.77243219304,..\..\JOCN-master\task a\images\hersey_milk_chocolate.jpg,1.33003730123,7,7,2.2868348388,0,1
8,1.75,3,..\..\JOCN-master\task a\images\chex mix_original_traditional.jpg ..\..\JOCN-master\task a\images\pringles_cheddar_potato crisps.jpg ..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg,3,6.41887891106e-06,..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg,1.28377578221e-05,n/a,n/a,,1,2
5,1.25,2,0.75 1.0 1.25 1.75 0.5 1.5,1.25,2.21156100751,$1.75,0.866030794772,7,7,2.6956208511,0,2
2,1.0,12,..\..\JOCN-master\task a\images\emerald_dark_chocolate_almonds.jpg ..\..\JOCN-master\task a\images\grandmas_oatmeal raisin_cookies.jpg ..\..\JOCN-master\task a\images\nature_valley_chewy.jpg ..\..\JOCN-master\task a\images\planters_salted_peanuts.jpg ..\..\JOCN-master\task a\images\emerald_natural_almonds.jpg ..\..\JOCN-master\task a\images\cheetos_crunchy_chips.jpg ..\..\JOCN-master\task a\images\baked_cheetos_crunchy.jpg ..\..\JOCN-master\task a\images\teddy_grahams_chocolate.jpg ..\..\JOCN-master\task a\images\chips_ahoy_thin_crisps.jpg ..\..\JOCN-master\task a\images\sun chips_french onion_chips.jpg ..\..\JOCN-master\task a\images\nestle_babyruth_bar.jpg ..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,12,1.82431940048,..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,2.09727246672,4,5,3.91556755928,0,1
1,1.75,3,1.75 0.5 1.25 1.0,1.75,1.65702034821,$1.75,1.39859132009,4,7,2.66175446121,0,1
