Trial Type, Money Option, Item Option, Trial Options, Choice 1, Choice 1 RT, Choice 2, Choice 2 RT, Decision Rating , Selected Option Rating, PostChoiceRT, Computer Response, Choosing For
5,1.75,12,..\..\JOCN-master\task a\images\nuture valley_crunchy_bar.jpg ..\..\JOCN-master\task a\images\jacklinks_beef_jerky_original.jpg ..\..\JOCN-master\task a\images\snyders_mini_pretzels.jpg ..\..\JOCN-master\task a\images\poptarts_brown_sugar.jpg ..\..\JOCN-master\task a\images\m&m's_milk_chocholate.jpg ..\..\JOCN-master\task a\images\black_forest_gummies.jpg ..\..\JOCN-master\task a\images\keebler_chips_deluxe.jpg ..\..\JOCN-master\task a\images\cheetos_crunchy_chips.jpg ..\..\JOCN-master\task a\images\kettle_bbq.jpg ..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg ..\..\JOCN-master\task a\images\quaker_chewy_chocolate chip.jpg ..\..\JOCN-master\task a\images\m&m's_peanut.jpg,12,4.27164493606,..\..\JOCN-master\task a\images\m&m's_peanut.jpg,0.137122094282,5,2,n/a,1,2
5,1.0,12,..\..\JOCN-master\task a\images\fig_newtons.jpg ..\..\JOCN-master\task a\images\haribo_gold_bears.jpg ..\..\JOCN-master\task a\images\cheetos_crunchy_chips.jpg ..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg ..\..\JOCN-master\task a\images\fritos_original_corn chips.jpg ..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg ..\..\JOCN-master\task a\images\combos_cheddar cheese_pretzel.jpg ..\..\JOCN-master\task a\images\keebler_chips_deluxe.jpg ..\..\JOCN-master\task a\images\kettle_bbq.jpg ..\..\JOCN-master\task a\images\nature valley_oats and honey_crunchy.jpg ..\..\JOCN-master\task a\images\reeses_peanut butter cups_milk choc.jpg ..\..\JOCN-master\task a\images\m&m's_milk_chocholate.jpg,12,2.79905883048,..\..\JOCN-master\task a\images\reeses_peanut butter cups_milk choc.jpg,3.2815464444,7,7,n/a,1,2
1,1.5,12,..\..\JOCN-master\task a\images\kettle_bbq.jpg ..\..\JOCN-master\task a\images\nutrigrain_blueberry_bar.jpg ..\..\JOCN-master\task a\images\kitkat_crisp wafers_milk choc.jpg ..\..\JOCN-master\task a\images\lays_classic_potato chips.jpg ..\..\JOCN-master\task a\images\snyders_mini_pretzels.jpg ..\..\JOCN-master\task a\images\welch's_white_grape_raspberry.jpg ..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg ..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg ..\..\JOCN-master\task a\images\welch's_berry.jpg ..\..\JOCN-master\task a\images\m&m's_peanut_butter.jpg ..\..\JOCN-master\task a\images\pepperidge farms-goldish-cheddar.jpg ..\..\JOCN-master\task a\images\nuture valley_crunchy_bar.jpg,12,3.62636469293,..\..\JOCN-master\task a\images\welch's_berry.jpg,1.87648743065,3,6,n/a,1,1
5,0.75,2,..\..\JOCN-master\task a\images\nestle_butterfinger_bar.jpg ..\..\JOCN-master\task a\images\quaker_chewy_chocolate chip.jpg,2,3.35080921568,..\..\JOCN-master\task a\images\quaker_chewy_chocolate chip.jpg,n/a,5,1,n/a,1,2
2,0.5,3,..\..\JOCN-master\task a\images\black_forest_gummies.jpg ..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg ..\..\JOCN-master\task a\images\hersey_milk_chocolate.jpg,0.5,n/a,1.75,n/a,5,1,n/a,1,1
8,1.0,12,1.0 0.75 0.5 1.75 1.5 1.25,1.0,5.11994585395e-06,$1.0,5.12006226927e-06,n/a,n/a,,1,2
6,0.75,6,..\..\JOCN-master\task a\images\nestle_crunch_bar.jpg ..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg ..\..\JOCN-master\task a\images\pirates booty_aged white cheddar_ corn puffs.jpg ..\..\JOCN-master\task a\images\keebler_chips_deluxe.jpg ..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg ..\..\JOCN-master\task a\images\nestle_babyruth_bar.jpg,6,2.30617136182,..\..\JOCN-master\task a\images\nestle_crunch_bar.jpg,1.4643127569,4,4,2.5785052221,0,2
2,0.75,2,0.5 0.75 1.5 1.25 1.75 1.0,0.75,2.44765683264,$1.75,1.68285477464,7,2,n/a,1,1
2,1.25,3,1.25 1.5,1.25,2.49362873076,$1.5,2.29968887474,1,1,n/a,1,1
7,1.5,6,..\..\JOCN-master\task a\images\nuture valley_crunchy_bar.jpg ..\..\JOCN-master\task a\images\m&m's_peanut_butter.jpg ..\..\JOCN-master\task a\images\poptarts_brown_sugar.jpg ..\..\JOCN-master\task a\images\cheetos_crunchy_chips.jpg ..\..\JOCN-master\task a\images\kellogg's_rice krispies_orignal.jpg ..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg,6,6.25778920949e-06,..\..\JOCN-master\task a\images\poptarts_brown_sugar.jpg,9.10216476768e-06,n/a,n/a,,1,2
5,1.0,2,1.0 0.75,1.0,2.42410427053,$0.75,1.25039409765,3,5,3.74955754681,0,2
1,1.0,12,..\..\JOCN-master\task a\images\kitkat_crisp wafers_milk choc.jpg ..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg ..\..\JOCN-master\task a\images\walkers_highlander_shortbread.jpg ..\..\JOCN-master\task a\images\nestle_butterfinger_bar.jpg ..\..\JOCN-master\task a\images\cheez itz_original.jpg ..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg ..\..\JOCN-master\task a\images\planters_salted_peanuts.jpg ..\..\JOCN-master\task a\images\black_forest_gummies.jpg ..\..\JOCN-master\task a\images\pepperidge farms-goldish-cheddar.jpg ..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg ..\..\JOCN-master\task a\images\nutrigrain_apple cinnamon_bar.jpg ..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg,12,2.76312724955,..\..\JOCN-master\task a\images\cheez itz_original.jpg,1.19590991759,6,6,4.07235013053,0,1
5,1.25,3,..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg ..\..\JOCN-master\task a\images\skittles_darkside_candy.jpg ..\..\JOCN-master\task a\images\kellogg's_rice krispies_orignal.jpg,3,2.54484862729,..\..\JOCN-master\task a\images\skittles_darkside_candy.jpg,2.35349949065,4,4,3.53663273633,0,2
5,1.5,12,..\..\JOCN-master\task a\images\wheat_thins.jpg ..\..\JOCN-master\task a\images\nestle_crunch_bar.jpg ..\..\JOCN-master\task a\images\quaker_chewy_chocolate chip.jpg ..\..\JOCN-master\task a\images\mini_fudge_stripes.jpg ..\..\JOCN-master\task a\images\m&m's_peanut_butter.jpg ..\..\JOCN-master\task a\images\nuture valley_crunchy_bar.jpg ..\..\JOCN-master\task a\images\nature_valley_granola_cups_almond_butter.jpg ..\..\JOCN-master\task a\images\hersey_milk_chocolate.jpg ..\..\JOCN-master\task a\images\nabisco_nutter butter_cookies and crackers.jpg ..\..\JOCN-master\task a\images\welch's_tropical_fruits.jpg ..\..\JOCN-master\task a\images\nutrigrain_apple cinnamon_bar.jpg ..\..\JOCN-master\task a\images\welch's_mixed fruit_fruit snacks.jpg,12,3.20890504285,..\..\JOCN-master\task a\images\mini_fudge_stripes.jpg,1.06273135997,4,4,2.42981022445,0,2
1,0.5,2,..\..\JOCN-master\task a\images\fig_newtons.jpg ..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg,2,2.22518606938,..\..\JOCN-master\task a\images\fig_newtons.jpg,1.55020073242,6,6,2.79622405791,0,1
6,0.75,3,..\..\JOCN-master\task a\images\nabisco_nutter butter_bites.jpg ..\..\JOCN-master\task a\images\skittles_sour_candy.jpg ..\..\JOCN-master\task a\images\welch's_tropical_fruits.jpg,3,2.23325916915,..\..\JOCN-master\task a\images\welch's_tropical_fruits.jpg,2.27820763644,4,3,3.64602434949,0,2
4,1.0,6,1.0 0.5,1.0,5.68898394704e-06,$0.5,4.55102417618e-06,n/a,n/a,,1,1
5,1.25,6,1.25 1.5,1.25,2.695803251,$1.25,3.21640811628,2,1,3.39217937295,0,2
5,0.75,3,..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg ..\..\JOCN-master\task a\images\welch's_mixed fruit_fruit snacks.jpg ..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,3,2.18728670233,..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg,1.69560186437,4,4,2.37729326158,0,2
2,0.5,2,0.5 0.75 1.25 1.0,0.5,2.61136309721,$1.25,1.6332215087,2,2,n/a,1,1
1,0.75,2,..\..\JOCN-master\task a\images\pepperidge farms-goldish-cheddar.jpg ..\..\JOCN-master\task a\images\nestle_butterfinger_bar.jpg,2,2.53959266434,..\..\JOCN-master\task a\images\pepperidge farms-goldish-cheddar.jpg,1.63806616515,6,7,2.59009405435,0,1
1,1.0,12,..\..\JOCN-master\task a\images\wheat_thins.jpg ..\..\JOCN-master\task a\images\skittles_sour_candy.jpg ..\..\JOCN-master\task a\images\nuture valley_crunchy_bar.jpg ..\..\JOCN-master\task a\images\snyders_mini_pretzels.jpg ..\..\JOCN-master\task a\images\reeses_peanut butter cups_milk choc.jpg ..\..\JOCN-master\task a\images\nestle_butterfinger_bar.jpg ..\..\JOCN-master\task a\images\nutrigrain_strawberry_bar.jpg ..\..\JOCN-master\task a\images\starburst_orignal_candy.jpg ..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg ..\..\JOCN-master\task a\images\nature valley_oats and honey_crunchy.jpg ..\..\JOCN-master\task a\images\hersheys_milk choc_almond.jpg ..\..\JOCN-master\task a\images\nutrigrain_blueberry_bar.jpg,12,2.22070265724,..\..\JOCN-master\task a\images\nutrigrain_strawberry_bar.jpg,3.9153220508,6,5,2.66862060979,0,1
2,1.75,12,0.75 1.75 1.5 0.5,1.75,2.21411094349,$1.75,1.19996609422,5,1,n/a,1,1
2,0.5,6,1.75 0.5 1.0 1.5,0.5,3.38224031799,$1.75,1.51681379077,6,6,4.19093839906,0,1
